2026-07-07 20:25:48 | INFO    | scheduler.workbuddy:10 | WorkBuddy 定时值守接口已初始化
2026-07-07 20:25:48 | INFO    | scheduler.workbuddy:11 | 预留任务槽位: [盘中盯盘] [定时复盘] [信号推送]
2026-07-07 20:25:48 | INFO    | scheduler.monitor:16 | 盘中盯盘模块已初始化（预留）
2026-07-07 20:25:48 | INFO    | scheduler.monitor:17 | 信号推送接口已预留
2026-07-07 20:25:48 | INFO    | scheduler.monitor:18 | 定时复盘接口已预留
2026-07-07 20:25:48 | INFO    | __main__:28 | --- 模块加载完成 ---
2026-07-07 20:25:48 | INFO    | __main__:29 |   实时行情采集器      : A股实时行情采集器
2026-07-07 20:25:48 | INFO    | __main__:30 |   历史数据采集器      : A股历史量价数据采集器
2026-07-07 20:25:48 | INFO    | __main__:31 |   本地存储模块        : 就绪
2026-07-07 20:25:48 | INFO    | __main__:32 |   DeepSeek接口        : 未配置API Key
2026-07-07 20:25:48 | INFO    | __main__:33 |   数据通道            : 就绪
2026-07-07 20:25:48 | INFO    | __main__:34 |   WorkBuddy值守       : 就绪 (盘中盯盘/复盘/信号推送)
2026-07-07 20:25:48 | INFO    | __main__:35 |   盘中监控            : 就绪
2026-07-07 20:25:48 | INFO    | __main__:36 | --- 系统就绪，等待指令 ---
2026-07-07 20:27:32 | INFO    | __main__:119 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:28:09 | INFO    | collector.realtime:36 | 全市场行情抓取成功: 3770 只 (腾讯API)
2026-07-07 20:28:09 | INFO    | collector.realtime:36 | 全市场行情抓取成功: 3770 只 (腾讯API)
2026-07-07 20:28:09 | INFO    | collector.realtime:36 | 全市场行情抓取成功: 3770 只 (腾讯API)
2026-07-07 20:30:55 | INFO    | __main__:119 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:32:08 | INFO    | __main__:133 | 预加载行情数据...
2026-07-07 20:32:39 | INFO    | collector.realtime:36 | 全市场行情抓取成功: 3770 只 (腾讯API)
2026-07-07 20:32:39 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:32:39 | INFO    | __main__:135 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:34:28 | INFO    | __main__:133 | 预加载行情数据...
2026-07-07 20:34:54 | ERROR   | collector.realtime:31 | 批量查询失败 (第250批): HTTPSConnectionPool(host='qt.gtimg.cn', port=443): Read timed out. (read timeout=15)
2026-07-07 20:35:01 | INFO    | __main__:133 | 预加载行情数据...
2026-07-07 20:36:01 | INFO    | collector.realtime:38 | 全市场行情抓取成功: 3770 只 (腾讯API并发)
2026-07-07 20:36:53 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:36:58 | INFO    | __main__:134 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:37:03 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:37:03 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:37:59 | INFO    | __main__:134 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:38:00 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:38:00 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:39:14 | INFO    | __main__:137 | 预加载行情数据，请稍候...
2026-07-07 20:39:14 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:39:14 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:39:14 | INFO    | __main__:139 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:39:15 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:39:15 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:40:25 | INFO    | __main__:137 | 预加载行情数据，请稍候...
2026-07-07 20:40:26 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:40:26 | INFO    | __main__:35 | 行情缓存已刷新: 3770 只
2026-07-07 20:40:26 | INFO    | __main__:139 | 启动Web界面: http://127.0.0.1:5000
2026-07-07 20:44:27 | INFO    | collector.realtime:40 | 全市场行情抓取成功: 3770 只
2026-07-07 20:44:27 | INFO    | webapp:41 | 行情缓存已刷新: 3770 只
