2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600028, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600026, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600035, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600027, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600036, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600050, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600031, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600048, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600038, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600032, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600037, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600035, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600051, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600030, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600054, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600055, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600048, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600039, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600037, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600052, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600050, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600058, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600051, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600052, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600055, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600054, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600061, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600059, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600063, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600059, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600062, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600060, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600066, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600058, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600073, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600057, 12 条
2026-07-08 19:30:18 | DEBUG   | collector.history:106 | 日线历史获取成功: 600064, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600063, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600072, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600056, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600076, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600062, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600064, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600072, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600075, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600071, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600071, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600078, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600081, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600061, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600085, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600066, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600076, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600078, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600089, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600088, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600073, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600098, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600095, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600081, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600096, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600085, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600097, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600088, 12 条
2026-07-08 19:30:19 | DEBUG   | collector.history:106 | 日线历史获取成功: 600099, 12 条
